Amount,fraud_probability,risk_score,risk_band,decision,actual_class
-0.25995438915074587,0.0,0.0,Low Risk,Approve Transaction,0
-0.3044259461616427,0.0,0.0,Low Risk,Approve Transaction,0
-0.04828573170067461,0.0,0.0,Low Risk,Approve Transaction,0
-0.34774084384221127,0.0,0.0,Low Risk,Approve Transaction,0
-0.3457067188130133,0.0,0.0,Low Risk,Approve Transaction,0
-0.315833000246949,0.0,0.0,Low Risk,Approve Transaction,0
-0.14428845611792002,0.0,0.0,Low Risk,Approve Transaction,0
-0.33737079467375103,0.0,0.0,Low Risk,Approve Transaction,0
-0.24033106533965953,0.0,0.0,Low Risk,Approve Transaction,0
0.02821332331896679,0.0,0.0,Low Risk,Approve Transaction,0
4.524148140304907,0.0,0.0,Low Risk,Approve Transaction,0
0.8521137297531335,0.0,0.0,Low Risk,Approve Transaction,0
-0.12761660783939546,0.0,0.0,Low Risk,Approve Transaction,0
-0.33350196863782544,0.0,0.0,Low Risk,Approve Transaction,0
-0.344550059482685,0.0,0.0,Low Risk,Approve Transaction,0
-0.34379224819729753,0.0,0.0,Low Risk,Approve Transaction,0
0.701269399156531,0.0,0.0,Low Risk,Approve Transaction,0
-0.33573551768949383,0.0,0.0,Low Risk,Approve Transaction,0
-0.07648428847798763,0.0,0.0,Low Risk,Approve Transaction,0
-0.3477009590377172,0.0,0.0,Low Risk,Approve Transaction,0
0.39595122075436473,0.0,0.0,Low Risk,Approve Transaction,0
-0.07249580802857984,0.0,0.0,Low Risk,Approve Transaction,0
-0.3058219143189354,0.0,0.0,Low Risk,Approve Transaction,0
-0.34813969188715205,0.0,0.0,Low Risk,Approve Transaction,0
-0.29186223274600814,0.0,0.0,Low Risk,Approve Transaction,0
-0.34813969188715205,0.0,0.0,Low Risk,Approve Transaction,0
-0.3477009590377172,0.0,0.0,Low Risk,Approve Transaction,0
-0.30386755889872563,0.0,0.0,Low Risk,Approve Transaction,0
-0.07736175417685734,0.0,0.0,Low Risk,Approve Transaction,0
-0.2519774282519303,0.0,0.0,Low Risk,Approve Transaction,0
-0.3477009590377172,0.0,0.0,Low Risk,Approve Transaction,0
-0.3457067188130133,0.0,0.0,Low Risk,Approve Transaction,0
-0.3118046349930471,0.0,0.0,Low Risk,Approve Transaction,0
-0.34774084384221127,0.0,0.0,Low Risk,Approve Transaction,0
-0.33094934115020447,0.0,0.0,Low Risk,Approve Transaction,0
-0.14077859332244116,0.0,0.0,Low Risk,Approve Transaction,0
0.020794749683068305,0.0,0.0,Low Risk,Approve Transaction,0
-0.12394720582594031,0.0,0.0,Low Risk,Approve Transaction,0
-0.18070328262101312,0.0,0.0,Low Risk,Approve Transaction,0
-0.29856287990101327,0.0,0.0,Low Risk,Approve Transaction,0
-0.10767420559235653,0.0,0.0,Low Risk,Approve Transaction,0
-0.23331133974870183,0.0,0.0,Low Risk,Approve Transaction,0
-0.3445899442871791,0.0,0.0,Low Risk,Approve Transaction,0
-0.27140132804054623,0.0,0.0,Low Risk,Approve Transaction,0
0.16282453848647963,0.0,0.0,Low Risk,Approve Transaction,0
-0.3369320618243162,0.0,0.0,Low Risk,Approve Transaction,0
-0.2928593528583601,0.0,0.0,Low Risk,Approve Transaction,0
0.2517277677037792,0.0,0.0,Low Risk,Approve Transaction,0
-0.23243387404983212,0.0,0.0,Low Risk,Approve Transaction,0
2.0364132295957877,0.005,0.5,Low Risk,Approve Transaction,0
-0.18580853759625507,0.0,0.0,Low Risk,Approve Transaction,0
0.1668130189358874,0.0,0.0,Low Risk,Approve Transaction,0
-0.1522654170167356,0.0,0.0,Low Risk,Approve Transaction,0
0.4132213411003005,0.0,0.0,Low Risk,Approve Transaction,0
-0.031733537835632264,0.0,0.0,Low Risk,Approve Transaction,0
-0.1522654170167356,0.0,0.0,Low Risk,Approve Transaction,0
-0.296887718112262,0.0,0.0,Low Risk,Approve Transaction,0
-0.3477009590377172,0.0,0.0,Low Risk,Approve Transaction,0
5.041294515375121,0.0,0.0,Low Risk,Approve Transaction,0
-0.22006958465666798,0.0,0.0,Low Risk,Approve Transaction,0
-0.34323386093438046,0.0,0.0,Low Risk,Approve Transaction,0
-0.18006512574910788,0.0,0.0,Low Risk,Approve Transaction,0
-0.3397638829433957,0.0,0.0,Low Risk,Approve Transaction,0
0.5554505539261823,0.0,0.0,Low Risk,Approve Transaction,0
-0.1219529656012364,0.005,0.5,Low Risk,Approve Transaction,0
0.9738820378735533,0.0,0.0,Low Risk,Approve Transaction,0
1.396860389533249,0.0,0.0,Low Risk,Approve Transaction,0
-0.3457067188130133,0.0,0.0,Low Risk,Approve Transaction,0
-0.26362379116420104,0.0,0.0,Low Risk,Approve Transaction,0
-0.315833000246949,0.0,0.0,Low Risk,Approve Transaction,0
-0.28807317631907076,0.0,0.0,Low Risk,Approve Transaction,0
0.0690952479253966,0.0,0.0,Low Risk,Approve Transaction,0
1.642550785216769,0.0,0.0,Low Risk,Approve Transaction,0
-0.32145675768061394,0.0,0.0,Low Risk,Approve Transaction,0
-0.23702062656665107,0.0,0.0,Low Risk,Approve Transaction,0
-0.3477009590377172,0.0,0.0,Low Risk,Approve Transaction,0
-0.3118445197975412,0.0,0.0,Low Risk,Approve Transaction,0
-0.3302314146693111,0.0,0.0,Low Risk,Approve Transaction,0
-0.2611509332855682,0.0,0.0,Low Risk,Approve Transaction,0
2.89812443069034,0.0,0.0,Low Risk,Approve Transaction,0
0.10096320671616481,0.0,0.0,Low Risk,Approve Transaction,0
-0.33178692204458016,0.0,0.0,Low Risk,Approve Transaction,0
-0.34865819434557505,0.0,0.0,Low Risk,Approve Transaction,0
-0.33011176025582883,0.0,0.0,Low Risk,Approve Transaction,0
-0.1564134366841197,0.0,0.0,Low Risk,Approve Transaction,0
-0.1486757846122686,0.0,0.0,Low Risk,Approve Transaction,0
-0.28292803653933474,0.0,0.0,Low Risk,Approve Transaction,0
-0.18018478016259012,0.0,0.0,Low Risk,Approve Transaction,0
-0.30873350504700314,0.0,0.0,Low Risk,Approve Transaction,0
-0.05255340578154091,0.0,0.0,Low Risk,Approve Transaction,0
-0.31220348303798784,0.0,0.0,Low Risk,Approve Transaction,0
1.3972592375781898,0.0,0.0,Low Risk,Approve Transaction,0
0.376607090574737,0.0,0.0,Low Risk,Approve Transaction,0
-0.34379224819729753,0.0,0.0,Low Risk,Approve Transaction,0
-0.3413991599276529,0.0,0.0,Low Risk,Approve Transaction,0
-0.29190211755050227,0.0,0.0,Low Risk,Approve Transaction,0
-0.34813969188715205,0.0,0.0,Low Risk,Approve Transaction,0
0.24486758133079778,0.0,0.0,Low Risk,Approve Transaction,0
-0.24842768065195736,0.0,0.0,Low Risk,Approve Transaction,0
0.3038970919820331,0.0,0.0,Low Risk,Approve Transaction,0
0.14288213623944068,0.0,0.0,Low Risk,Approve Transaction,0
-0.2922610807909489,0.0,0.0,Low Risk,Approve Transaction,0
-0.09642669072502658,0.005,0.5,Low Risk,Approve Transaction,0
-0.20088499369501653,0.0,0.0,Low Risk,Approve Transaction,0
-0.2520173130564244,0.0,0.0,Low Risk,Approve Transaction,0
-0.333781162269284,0.0,0.0,Low Risk,Approve Transaction,0
0.061118287026581036,0.0,0.0,Low Risk,Approve Transaction,0
-0.06092921472529724,0.0,0.0,Low Risk,Approve Transaction,0
